model,query_id,query_name,query_tactic,similar_id,similar_name,cosine_score
CTI-BERT,T1001,Data Obfuscation,Command and Control,,,
SecureBERT,T1001,Data Obfuscation,Command and Control,T1665,Hide Infrastructure,0.9735
BERT,T1001,Data Obfuscation,Command and Control,,,
CTI-BERT,T1003,OS Credential Dumping,Credential Access,,,
SecureBERT,T1003,OS Credential Dumping,Credential Access,T1110,Brute Force,0.9703
BERT,T1003,OS Credential Dumping,Credential Access,,,
CTI-BERT,T1005,Data from Local System,Collection,,,
SecureBERT,T1005,Data from Local System,Collection,T1039,Data from Network Shared Drive,0.9711
BERT,T1005,Data from Local System,Collection,,,
CTI-BERT,T1006,Direct Volume Access,Stealth,,,
SecureBERT,T1006,Direct Volume Access,Stealth,T1564,Hide Artifacts,0.9585
BERT,T1006,Direct Volume Access,Stealth,,,
CTI-BERT,T1007,System Service Discovery,Discovery,,,
SecureBERT,T1007,System Service Discovery,Discovery,T1016,System Network Configuration Discovery,0.9762
BERT,T1007,System Service Discovery,Discovery,,,
CTI-BERT,T1008,Fallback Channels,Command and Control,,,
SecureBERT,T1008,Fallback Channels,Command and Control,T1104,Multi-Stage Channels,0.9692
BERT,T1008,Fallback Channels,Command and Control,,,
CTI-BERT,T1010,Application Window Discovery,Discovery,,,
SecureBERT,T1010,Application Window Discovery,Discovery,T1057,Process Discovery,0.9732
BERT,T1010,Application Window Discovery,Discovery,,,
CTI-BERT,T1011,Exfiltration Over Other Network Medium,Exfiltration,,,
SecureBERT,T1011,Exfiltration Over Other Network Medium,Exfiltration,T1052,Exfiltration Over Physical Medium,0.9684
BERT,T1011,Exfiltration Over Other Network Medium,Exfiltration,,,
CTI-BERT,T1012,Query Registry,Discovery,,,
SecureBERT,T1012,Query Registry,Discovery,T1082,System Information Discovery,0.9602
BERT,T1012,Query Registry,Discovery,,,
CTI-BERT,T1014,Rootkit,Stealth,,,
SecureBERT,T1014,Rootkit,Stealth,T1564,Hide Artifacts,0.9711
BERT,T1014,Rootkit,Stealth,,,
CTI-BERT,T1016,System Network Configuration Discovery,Discovery,,,
SecureBERT,T1016,System Network Configuration Discovery,Discovery,T1007,System Service Discovery,0.9762
BERT,T1016,System Network Configuration Discovery,Discovery,,,
CTI-BERT,T1018,Remote System Discovery,Discovery,,,
SecureBERT,T1018,Remote System Discovery,Discovery,T1016,System Network Configuration Discovery,0.9755
BERT,T1018,Remote System Discovery,Discovery,,,
CTI-BERT,T1020,Automated Exfiltration,Exfiltration,,,
SecureBERT,T1020,Automated Exfiltration,Exfiltration,T1537,Transfer Data to Cloud Account,0.9694
BERT,T1020,Automated Exfiltration,Exfiltration,,,
CTI-BERT,T1021,Remote Services,Lateral Movement,,,
SecureBERT,T1021,Remote Services,Lateral Movement,T1563,Remote Service Session Hijacking,0.9699
BERT,T1021,Remote Services,Lateral Movement,,,
CTI-BERT,T1025,Data from Removable Media,Collection,T1039,Data from Network Shared Drive,0.9723
SecureBERT,T1025,Data from Removable Media,Collection,T1039,Data from Network Shared Drive,0.9909
BERT,T1025,Data from Removable Media,Collection,T1039,Data from Network Shared Drive,0.973
CTI-BERT,T1027,Obfuscated Files or Information,Stealth,,,
SecureBERT,T1027,Obfuscated Files or Information,Stealth,T1036,Masquerading,0.9763
BERT,T1027,Obfuscated Files or Information,Stealth,,,
CTI-BERT,T1029,Scheduled Transfer,Exfiltration,,,
SecureBERT,T1029,Scheduled Transfer,Exfiltration,T1030,Data Transfer Size Limits,0.9578
BERT,T1029,Scheduled Transfer,Exfiltration,,,
CTI-BERT,T1030,Data Transfer Size Limits,Exfiltration,,,
SecureBERT,T1030,Data Transfer Size Limits,Exfiltration,T1020,Automated Exfiltration,0.9595
BERT,T1030,Data Transfer Size Limits,Exfiltration,,,
CTI-BERT,T1033,System Owner/User Discovery,Discovery,T1057,Process Discovery,0.9612
SecureBERT,T1033,System Owner/User Discovery,Discovery,T1057,Process Discovery,0.9835
BERT,T1033,System Owner/User Discovery,Discovery,T1082,System Information Discovery,0.9552
CTI-BERT,T1036,Masquerading,Stealth,,,
SecureBERT,T1036,Masquerading,Stealth,T1027,Obfuscated Files or Information,0.9763
BERT,T1036,Masquerading,Stealth,,,
CTI-BERT,T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation",,,
SecureBERT,T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation",T1547,Boot or Logon Autostart Execution,0.9769
BERT,T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation",,,
CTI-BERT,T1039,Data from Network Shared Drive,Collection,T1025,Data from Removable Media,0.9723
SecureBERT,T1039,Data from Network Shared Drive,Collection,T1025,Data from Removable Media,0.9909
BERT,T1039,Data from Network Shared Drive,Collection,T1025,Data from Removable Media,0.973
CTI-BERT,T1040,Network Sniffing,"Credential Access, Discovery",,,
SecureBERT,T1040,Network Sniffing,"Credential Access, Discovery",T1120,Peripheral Device Discovery,0.9614
BERT,T1040,Network Sniffing,"Credential Access, Discovery",T1557,Adversary-in-the-Middle,0.9538
CTI-BERT,T1041,Exfiltration Over C2 Channel,Exfiltration,T1048,Exfiltration Over Alternative Protocol,0.9577
SecureBERT,T1041,Exfiltration Over C2 Channel,Exfiltration,T1048,Exfiltration Over Alternative Protocol,0.9814
BERT,T1041,Exfiltration Over C2 Channel,Exfiltration,T1048,Exfiltration Over Alternative Protocol,0.9612
CTI-BERT,T1046,Network Service Discovery,Discovery,,,
SecureBERT,T1046,Network Service Discovery,Discovery,T1518,Software Discovery,0.9735
BERT,T1046,Network Service Discovery,Discovery,,,
CTI-BERT,T1047,Windows Management Instrumentation,Execution,,,
SecureBERT,T1047,Windows Management Instrumentation,Execution,T1106,Native API,0.9696
BERT,T1047,Windows Management Instrumentation,Execution,,,
CTI-BERT,T1048,Exfiltration Over Alternative Protocol,Exfiltration,T1041,Exfiltration Over C2 Channel,0.9577
SecureBERT,T1048,Exfiltration Over Alternative Protocol,Exfiltration,T1041,Exfiltration Over C2 Channel,0.9814
BERT,T1048,Exfiltration Over Alternative Protocol,Exfiltration,T1041,Exfiltration Over C2 Channel,0.9612
CTI-BERT,T1049,System Network Connections Discovery,Discovery,,,
SecureBERT,T1049,System Network Connections Discovery,Discovery,T1046,Network Service Discovery,0.9689
BERT,T1049,System Network Connections Discovery,Discovery,,,
CTI-BERT,T1052,Exfiltration Over Physical Medium,Exfiltration,,,
SecureBERT,T1052,Exfiltration Over Physical Medium,Exfiltration,T1011,Exfiltration Over Other Network Medium,0.9684
BERT,T1052,Exfiltration Over Physical Medium,Exfiltration,,,
CTI-BERT,T1053,Scheduled Task/Job,"Execution, Persistence, Privilege Escalation",,,
SecureBERT,T1053,Scheduled Task/Job,"Execution, Persistence, Privilege Escalation",T1547,Boot or Logon Autostart Execution,0.98
BERT,T1053,Scheduled Task/Job,"Execution, Persistence, Privilege Escalation",T1547,Boot or Logon Autostart Execution,0.9505
CTI-BERT,T1055,Process Injection,"Privilege Escalation, Stealth",,,
SecureBERT,T1055,Process Injection,"Privilege Escalation, Stealth",T1134,Access Token Manipulation,0.973
BERT,T1055,Process Injection,"Privilege Escalation, Stealth",,,
CTI-BERT,T1056,Input Capture,"Collection, Credential Access",,,
SecureBERT,T1056,Input Capture,"Collection, Credential Access",T1557,Adversary-in-the-Middle,0.9734
BERT,T1056,Input Capture,"Collection, Credential Access",,,
CTI-BERT,T1057,Process Discovery,Discovery,T1518,Software Discovery,0.9713
SecureBERT,T1057,Process Discovery,Discovery,T1518,Software Discovery,0.9899
BERT,T1057,Process Discovery,Discovery,T1518,Software Discovery,0.9762
CTI-BERT,T1059,Command and Scripting Interpreter,Execution,,,
SecureBERT,T1059,Command and Scripting Interpreter,Execution,T1127,Trusted Developer Utilities Proxy Execution,0.9634
BERT,T1059,Command and Scripting Interpreter,Execution,,,
CTI-BERT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,,,
SecureBERT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,T1098,Account Manipulation,0.974
BERT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,,,
CTI-BERT,T1069,Permission Groups Discovery,Discovery,,,
SecureBERT,T1069,Permission Groups Discovery,Discovery,T1087,Account Discovery,0.9613
BERT,T1069,Permission Groups Discovery,Discovery,,,
CTI-BERT,T1070,Indicator Removal,Stealth,,,
SecureBERT,T1070,Indicator Removal,Stealth,T1678,Delay Execution,0.9681
BERT,T1070,Indicator Removal,Stealth,,,
CTI-BERT,T1071,Application Layer Protocol,Command and Control,,,
SecureBERT,T1071,Application Layer Protocol,Command and Control,T1001,Data Obfuscation,0.9719
BERT,T1071,Application Layer Protocol,Command and Control,,,
CTI-BERT,T1072,Software Deployment Tools,"Execution, Lateral Movement",,,
SecureBERT,T1072,Software Deployment Tools,"Execution, Lateral Movement",T1610,Deploy Container,0.9685
BERT,T1072,Software Deployment Tools,"Execution, Lateral Movement",,,
CTI-BERT,T1074,Data Staged,Collection,,,
SecureBERT,T1074,Data Staged,Collection,T1039,Data from Network Shared Drive,0.9736
BERT,T1074,Data Staged,Collection,,,
CTI-BERT,T1078,Valid Accounts,"Initial Access, Persistence, Privilege Escalation, Stealth",,,
SecureBERT,T1078,Valid Accounts,"Initial Access, Persistence, Privilege Escalation, Stealth",T1098,Account Manipulation,0.976
BERT,T1078,Valid Accounts,"Initial Access, Persistence, Privilege Escalation, Stealth",T1098,Account Manipulation,0.9523
CTI-BERT,T1080,Taint Shared Content,Lateral Movement,,,
SecureBERT,T1080,Taint Shared Content,Lateral Movement,T1091,Replication Through Removable Media,0.9693
BERT,T1080,Taint Shared Content,Lateral Movement,,,
CTI-BERT,T1082,System Information Discovery,Discovery,T1518,Software Discovery,0.9658
SecureBERT,T1082,System Information Discovery,Discovery,T1518,Software Discovery,0.9869
BERT,T1082,System Information Discovery,Discovery,T1518,Software Discovery,0.9554
CTI-BERT,T1083,File and Directory Discovery,Discovery,T1518,Software Discovery,0.9704
SecureBERT,T1083,File and Directory Discovery,Discovery,T1057,Process Discovery,0.9881
BERT,T1083,File and Directory Discovery,Discovery,T1518,Software Discovery,0.9661
CTI-BERT,T1087,Account Discovery,Discovery,,,
SecureBERT,T1087,Account Discovery,Discovery,T1518,Software Discovery,0.9785
BERT,T1087,Account Discovery,Discovery,,,
CTI-BERT,T1090,Proxy,Command and Control,,,
SecureBERT,T1090,Proxy,Command and Control,T1568,Dynamic Resolution,0.9768
BERT,T1090,Proxy,Command and Control,,,
CTI-BERT,T1091,Replication Through Removable Media,"Initial Access, Lateral Movement",,,
SecureBERT,T1091,Replication Through Removable Media,"Initial Access, Lateral Movement",T1080,Taint Shared Content,0.9693
BERT,T1091,Replication Through Removable Media,"Initial Access, Lateral Movement",,,
CTI-BERT,T1092,Communication Through Removable Media,Command and Control,,,
SecureBERT,T1092,Communication Through Removable Media,Command and Control,T1105,Ingress Tool Transfer,0.9772
BERT,T1092,Communication Through Removable Media,Command and Control,,,
CTI-BERT,T1095,Non-Application Layer Protocol,Command and Control,,,
SecureBERT,T1095,Non-Application Layer Protocol,Command and Control,T1132,Data Encoding,0.9595
BERT,T1095,Non-Application Layer Protocol,Command and Control,,,
CTI-BERT,T1098,Account Manipulation,"Persistence, Privilege Escalation",,,
SecureBERT,T1098,Account Manipulation,"Persistence, Privilege Escalation",T1078,Valid Accounts,0.976
BERT,T1098,Account Manipulation,"Persistence, Privilege Escalation",T1078,Valid Accounts,0.9523
CTI-BERT,T1102,Web Service,Command and Control,,,
SecureBERT,T1102,Web Service,Command and Control,T1090,Proxy,0.9764
BERT,T1102,Web Service,Command and Control,,,
CTI-BERT,T1104,Multi-Stage Channels,Command and Control,,,
SecureBERT,T1104,Multi-Stage Channels,Command and Control,T1568,Dynamic Resolution,0.9702
BERT,T1104,Multi-Stage Channels,Command and Control,,,
CTI-BERT,T1105,Ingress Tool Transfer,Command and Control,,,
